file	PRS_type	threshold	fold	Count	BETA	SE	P	r2_PRS	r2_full	AUC
input/fig3ab_prs/snp//fold95.SNP.0.05.sscore	SNP	0.05	95	43593.94285714286	539.2650630282493	331.6805546364446	0.10398013612244811	0.0210225	0.0811781	0.5505879135903746
input/fig3ab_prs/snp//fold95.SNP.0.1.sscore	SNP	0.1	95	74627.90857142858	514.7385038755748	464.98380298384615	0.26829259499488706	0.00967935	0.070532	0.5519551544982226
input/fig3ab_prs/snp//fold96.SNP.0.00001.sscore	SNP	1e-5	96	36	5.958321890218938	5.6058486725768475	0.28783819814407957	0.00947678	0.228818	0.5527192008879024
input/fig3ab_prs/snp//fold96.SNP.0.0001.sscore	SNP	1e-4	96	230	25.18898048194001	15.881343001596262	0.11272259169931506	0.0212218	0.237962	0.5678412874583796
input/fig3ab_prs/snp//fold96.SNP.0.001.sscore	SNP	0.001	96	1541.9770114942528	57.80857113745681	46.550607989308034	0.21429430014295076	0.0130642	0.231611	0.542591564927858
input/fig3ab_prs/snp//fold96.SNP.0.01.sscore	SNP	0.01	96	11673.977011494253	217.395656102713	151.28014451514602	0.15070655821187748	0.0175275	0.235086	0.566315205327414
input/fig3ab_prs/snp//fold96.SNP.0.05.sscore	SNP	0.05	96	43649.93103448276	275.3787846519724	316.7638161470811	0.3846554443351557	0.00639509	0.226419	0.5129023307436182
input/fig3ab_prs/snp//fold96.SNP.0.1.sscore	SNP	0.1	96	74805.89655172414	663.542663273735	439.6451976668269	0.13123017227556696	0.0196668	0.236752	0.5195615982241953
input/fig3ab_prs/snp//fold97.SNP.0.00001.sscore	SNP	1e-5	97	40	0.923435968073426	6.059657734462794	0.8788787287224238	1.87576e-4	0.114075	0.49108138238573024
input/fig3ab_prs/snp//fold97.SNP.0.0001.sscore	SNP	1e-4	97	210	38.11566223684761	16.381097287774335	0.01997550587986667	0.0463031	0.154938	0.6032608695652174
input/fig3ab_prs/snp//fold97.SNP.0.001.sscore	SNP	0.001	97	1558	156.2629895780509	46.98188996973882	8.809369736740999e-4	0.0942696	0.19744	0.6355908584169454
input/fig3ab_prs/snp//fold97.SNP.0.01.sscore	SNP	0.01	97	11705.988439306358	379.7625546515036	148.82327047608797	0.01071776628779148	0.0552058	0.162826	0.6153846153846154
input/fig3ab_prs/snp//fold97.SNP.0.05.sscore	SNP	0.05	97	43773.96531791907	404.6743969641183	313.1721756750652	0.19629528604940535	0.0136577	0.126011	0.5430602006688963
input/fig3ab_prs/snp//fold97.SNP.0.1.sscore	SNP	0.1	97	74783.94219653179	687.1809224861098	451.4510581493286	0.12796889525456953	0.0190788	0.130814	0.5599219620958752
input/fig3ab_prs/snp//fold98.SNP.0.00001.sscore	SNP	1e-5	98	28	-2.5039885970976385	4.691502307006249	0.5935293721724739	0.00230211	0.10623	0.46491596638655464
input/fig3ab_prs/snp//fold98.SNP.0.0001.sscore	SNP	1e-4	98	206	21.88141370051275	14.0931710113457	0.12051268064014153	0.0196843	0.121801	0.5561624649859944
input/fig3ab_prs/snp//fold98.SNP.0.001.sscore	SNP	0.001	98	1516	107.4912343115613	44.12631963903995	0.014851131431211	0.0497067	0.148696	0.6092436974789915
input/fig3ab_prs/snp//fold98.SNP.0.01.sscore	SNP	0.01	98	11595.988439306358	492.4641773326403	148.76385029673511	9.31709522779366e-4	0.0963861	0.190513	0.6284313725490196
input/fig3ab_prs/snp//fold98.SNP.0.05.sscore	SNP	0.05	98	43453.988439306355	1106.513822351108	342.03949567667934	0.0012162273606936792	0.0915327	0.186165	0.6162464985994398
input/fig3ab_prs/snp//fold98.SNP.0.1.sscore	SNP	0.1	98	74435.95375722543	1745.134296082227	492.2574957419123	3.923666281868179e-4	0.11215	0.204635	0.6460784313725491
input/fig3ab_prs/snp//fold99.SNP.0.00001.sscore	SNP	1e-5	99	32	2.7928832732612237	5.644566301128806	0.6207473242178512	0.00209424	0.264958	0.5595238095238095
input/fig3ab_prs/snp//fold99.SNP.0.0001.sscore	SNP	1e-4	99	222	21.257279719507345	15.939700033025153	0.18233301313609052	0.0153458	0.274719	0.5892156862745098
input/fig3ab_prs/snp//fold99.SNP.0.001.sscore	SNP	0.001	99	1536	99.55936261956494	49.27905727374598	0.04335042091510643	0.0361199	0.290021	0.6215686274509804
input/fig3ab_prs/snp//fold99.SNP.0.01.sscore	SNP	0.01	99	11589.988439306358	352.3306417782502	166.24134748835365	0.03405732194106569	0.0404314	0.293197	0.6225490196078431
input/fig3ab_prs/snp//fold99.SNP.0.05.sscore	SNP	0.05	99	43309.96531791907	756.7062255332478	348.65998682042294	0.029982073427044436	0.0425173	0.294733	0.5952380952380952
input/fig3ab_prs/snp//fold99.SNP.0.1.sscore	SNP	0.1	99	74621.93063583814	1120.1081375585366	496.4814955439367	0.024064843903638403	0.0457717	0.29713	0.5980392156862745
